home_team,away_team,home_goal,away_goal,season,round,data,hora,home_team_state_BA,home_team_state_CE,home_team_state_GO,home_team_state_MG,home_team_state_MT,home_team_state_PE,home_team_state_PR,home_team_state_RJ,home_team_state_RS,home_team_state_SC,home_team_state_SP,away_team_state_BA,away_team_state_CE,away_team_state_GO,away_team_state_MG,away_team_state_MT,away_team_state_PE,away_team_state_PR,away_team_state_RJ,away_team_state_RS,away_team_state_SC,away_team_state_SP
Juventude,Atletico-MG,1,2,2021,15,2021-08-08,16:00:00,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
Santos,Corinthians,0,0,2021,15,2021-08-08,16:00:00,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
Flamengo,Internacional,0,4,2021,15,2021-08-08,18:15:00,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Ceara,Atletico-GO,0,0,2021,15,2021-08-08,18:15:00,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Gremio,Chapecoense,2,1,2021,15,2021-08-09,20:00:00,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
Bragantino,Juventude,1,2,2021,16,2021-08-14,17:00:00,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
Atletico-MG,Palmeiras,2,0,2021,16,2021-08-14,19:00:00,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Sao Paulo,Gremio,2,1,2021,16,2021-08-14,21:00:00,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
Flamengo,Sport,2,0,2021,16,2021-08-15,16:00:00,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Corinthians,Ceara,3,1,2021,16,2021-08-15,16:00:00,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False
Fortaleza,Santos,1,1,2021,16,2021-08-15,18:15:00,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Bahia,Atletico-GO,1,2,2021,16,2021-08-15,18:15:00,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Cuiaba,Athletico-PR,1,0,2021,16,2021-08-15,18:15:00,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Internacional,Fluminense,4,2,2021,16,2021-08-15,20:30:00,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
Chapecoense,America-MG,1,1,2021,16,2021-08-16,20:00:00,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
Atletico-GO,Chapecoense,1,1,2021,17,2021-08-21,17:00:00,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Gremio,Bahia,2,0,2021,17,2021-08-21,19:00:00,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
Juventude,Fortaleza,1,1,2021,17,2021-08-21,21:00:00,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
Palmeiras,Cuiaba,0,2,2021,17,2021-08-22,11:00:00,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
Ceara,Flamengo,1,1,2021,17,2021-08-22,16:00:00,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Athletico-PR,Corinthians,0,1,2021,17,2021-08-22,16:00:00,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
